time,data,quality,obs_index,use
2018-04-30 23:20:00,11.02,400,,
2018-04-30 23:30:00,10.92,400,,
2018-04-30 23:40:00,10.71,400,,
2018-04-30 23:50:00,10.55,400,,
2018-05-01 00:00:00,10.31,400,,
2018-05-01 00:10:00,10.08,400,,
2018-05-01 00:20:00,10.12,400,,
2018-05-01 00:30:00,10.18,400,,
2018-05-01 00:40:00,10.15,400,,
2018-05-01 00:50:00,10.35,400,,
2018-05-01 01:00:00,10.47,400,,
2018-05-01 01:10:00,10.31,400,,
2018-05-01 01:20:00,10.39,400,,
2018-05-01 01:30:00,10.5,400,,
2018-05-01 01:40:00,10.41,400,,
2018-05-01 01:50:00,10.27,400,,
2018-05-01 02:00:00,10.52,400,,
2018-05-01 02:10:00,10.55,400,,
2018-05-01 02:20:00,10.54,400,,
2018-05-01 02:30:00,10.57,400,,
2018-05-01 02:40:00,10.66,400,,
2018-05-01 02:50:00,10.91,400,,
2018-05-01 03:00:00,11.12,400,,
2018-05-01 03:10:00,11.46,400,,
2018-05-01 03:20:00,11.7,400,,
2018-05-01 03:30:00,11.83,400,,
2018-05-01 03:40:00,11.94,400,,
2018-05-01 03:50:00,12.44,400,,
2018-05-01 04:00:00,12.69,400,,
2018-05-01 04:10:00,12.96,400,,
2018-05-01 04:20:00,13.23,400,,
2018-05-01 04:30:00,13.98,400,,
2018-05-01 04:40:00,13.93,400,,
2018-05-01 04:50:00,14.0,400,,
2018-05-01 05:00:00,13.9,400,,
2018-05-01 05:10:00,14.54,400,,
2018-05-01 05:20:00,14.61,400,,
2018-05-01 05:30:00,15.16,400,,
2018-05-01 05:40:00,15.32,400,,
2018-05-01 05:50:00,15.14,400,,
2018-05-01 06:00:00,15.11,400,,
2018-05-01 06:10:00,15.85,400,,
2018-05-01 06:20:00,16.08,400,,
2018-05-01 06:30:00,16.3,400,,
2018-05-01 06:40:00,16.25,400,,
2018-05-01 06:50:00,16.22,400,,
2018-05-01 07:00:00,16.45,400,,
2018-05-01 07:10:00,16.88,400,,
2018-05-01 07:20:00,16.39,400,,
2018-05-01 07:30:00,17.27,400,,
2018-05-01 07:40:00,17.23,400,,
2018-05-01 07:50:00,17.54,400,,
2018-05-01 08:00:00,17.2,400,,
2018-05-01 08:10:00,17.63,400,,
2018-05-01 08:20:00,17.32,400,,
2018-05-01 08:30:00,17.69,400,,
2018-05-01 08:40:00,17.66,400,,
2018-05-01 08:50:00,18.06,400,,
2018-05-01 09:00:00,17.49,400,,
2018-05-01 09:10:00,17.34,400,,
