DATUM,AVG(QUOTA)
1971-01-03T00:01:00,384.38
1971-01-10T00:01:00,384.55
1971-01-16T00:01:00,384.55
1971-01-23T00:01:00,384.74
1971-02-01T00:02:00,385.17
1971-02-07T00:02:00,384.92
1971-02-14T00:02:00,384.68
1971-02-21T00:02:00,384.66
1971-02-28T00:02:00,384.57
1971-03-07T00:03:00,385.53
1971-03-13T00:03:00,384.27
1971-03-21T00:03:00,385.99
1971-03-28T00:03:00,385.09
1971-04-04T00:04:00,385.06
1971-04-12T00:04:00,385.09
1971-04-18T00:04:00,385.18
1971-04-25T00:04:00,385.54
1971-05-02T00:05:00,385.99
1971-05-09T00:05:00,385.45
1971-05-16T00:05:00,385.48
1971-05-23T00:05:00,385.69
1971-05-30T00:05:00,385.33
1971-06-06T00:06:00,385.26
1971-06-10T00:06:00,385.59
1971-06-20T00:06:00,385.19
1971-06-27T00:06:00,385.06
1971-07-04T00:07:00,384.96
1971-07-12T00:07:00,385.73
1971-07-19T00:07:00,384.77
1971-07-26T00:07:00,384.66
1971-08-02T00:08:00,384.65
1971-08-07T00:08:00,384.65
1971-08-16T00:08:00,384.60
1971-08-20T00:08:00,385.12
1971-08-28T00:08:00,384.69
1971-09-05T00:09:00,385.62
1971-09-14T00:09:00,384.61
1971-09-19T00:09:00,384.56
1971-09-28T00:09:00,384.56
1971-10-06T00:10:00,384.46
1971-10-12T00:10:00,384.43
1971-10-19T00:10:00,383.95
1971-10-26T00:10:00,383.28
1971-11-02T00:11:00,382.02
1971-11-09T00:11:00,384.78
1971-11-16T00:11:00,384.56
1971-11-23T00:11:00,384.36
1971-12-06T00:12:00,384.66
1971-12-14T00:12:00,384.41
1971-12-22T00:12:00,384.18
1971-12-28T00:12:00,383.88
1972-01-02T00:01:00,383.73
1972-01-09T00:01:00,384.19
1972-01-16T00:01:00,384.38
1972-01-23T00:01:00,384.30
1972-01-30T00:01:00,384.68
1972-02-06T00:02:00,384.88
1972-02-13T00:02:00,385.49
1972-02-20T00:02:00,385.80
1972-02-27T00:02:00,385.19
1972-03-05T00:03:00,385.22
1972-03-12T00:03:00,385.96
1972-03-19T00:03:00,385.56
1972-03-26T00:03:00,385.65
1972-04-02T00:04:00,385.44
1972-04-09T00:04:00,385.53
1972-04-16T00:04:00,385.46
1972-04-23T00:04:00,385.47
1972-04-30T00:04:00,384.81
1972-05-07T00:05:00,384.81
1972-05-14T00:05:00,384.80
1972-05-21T00:05:00,385.42
1972-05-28T00:05:00,385.45
1972-06-04T00:06:00,385.14
1972-06-11T00:06:00,386.46
1972-06-18T00:06:00,385.47
1972-06-25T00:06:00,385.22
1972-07-02T00:07:00,385.14
1972-07-11T00:07:00,385.08
1972-07-16T00:07:00,384.76
1972-07-24T00:07:00,384.76
1972-08-01T00:08:00,384.72
1972-08-06T00:08:00,384.68
1972-08-13T00:08:00,384.69
1972-08-20T00:08:00,384.81
1972-08-27T00:08:00,384.69
1972-09-03T00:09:00,385.36
1972-09-09T00:09:00,384.82
1972-09-16T00:09:00,384.82
1972-09-23T00:09:00,384.81
1972-10-02T00:10:00,384.64
1972-10-08T00:10:00,384.20
1972-10-15T00:10:00,384.63
1972-10-22T00:10:00,384.23
1972-10-29T00:10:00,382.65
1972-11-05T00:11:00,384.68
1972-11-12T00:11:00,384.50
1972-11-19T00:11:00,384.46
1972-11-28T00:11:00,384.41
1972-12-02T00:12:00,384.36
1972-12-12T00:12:00,384.80
1972-12-19T00:12:00,384.65
1972-12-24T00:12:00,384.37
1973-01-07T00:01:00,384.53
1973-01-14T00:01:00,384.74
1973-01-21T00:01:00,384.89
1973-01-27T00:01:00,384.93
1973-02-04T00:02:00,384.78
1973-02-11T00:02:00,384.57
1973-02-18T00:02:00,384.27
1973-02-25T00:02:00,383.95
1973-03-04T00:03:00,383.74
1973-03-11T00:03:00,383.76
1973-03-25T00:03:00,384.45
1973-04-01T00:04:00,384.63
1973-04-08T00:04:00,384.71
1973-04-15T00:04:00,384.83
1973-04-23T00:04:00,384.76
1973-05-01T00:05:00,384.84
1973-05-06T00:05:00,386.06
1973-05-13T00:05:00,385.07
1973-05-20T00:05:00,385.07
1973-05-27T00:05:00,384.98
1973-06-03T00:06:00,385.24
1973-06-10T00:06:00,384.98
1973-06-17T00:06:00,384.78
1973-06-24T00:06:00,385.86
1973-07-01T00:07:00,384.85
1973-07-09T00:07:00,384.81
1973-07-16T00:07:00,386.20
1973-07-23T00:07:00,385.49
1973-07-30T00:07:00,384.81
1973-08-06T00:08:00,384.76
